Date,Week,Auction_Number,Category,Manufacturer,Grade,Price,USD_Buying,USD_Selling,Crude_Oil_Price_LKR
2020-01-07,2,1,WESTERN MEDIUM,Nayapane,BOP,830,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN MEDIUM,Doombagastalawa,BOP,820,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN MEDIUM,Rilagala,BOP,820,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN MEDIUM,Kenilworth,BOPSp,860,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN MEDIUM,Craighead,BOPF/BOPFSp,660,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN MEDIUM,Imboolpittia,BOP1,1100,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN MEDIUM,Craighead,BOP1,1050,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN MEDIUM,Craighead,FBOP/FBOP1,1200,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN MEDIUM,Harangala,FBOPF/FBOPF1,810,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN MEDIUM,Craighead,FBOPF/FBOPF1,800,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN MEDIUM,Kenilworth,FBOPF/FBOPF1,800,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN MEDIUM,Dartry Valley,OP/OPA,740,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN MEDIUM,Harangala,OP/OPA,740,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN MEDIUM,Craighead,OP/OPA,730,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN MEDIUM,Craighead,OP1,1100,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN MEDIUM,Imboolpittia,PEK/PEK1,900,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN MEDIUM,Craighead,PEK/PEK1,900,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN HIGH,Queensberry,BOP,730,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN HIGH,Tillyrie,BOP,690,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN HIGH,Bearwell,BOPSp,600,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN HIGH,Wattegodde,BOPSp,570,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN HIGH,Glentilt,BOPF/BOPFSp,760,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN HIGH,Inverness,BOP1,900,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN HIGH,Glenloch,FBOP/FBOP1,770,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN HIGH,Inverness,FBOP/FBOP1,770,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN HIGH,Inverness,FBOPF/FBOPF1,750,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN HIGH,Inverness,OP/OPA,690,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN HIGH,Inverness,OP1,650,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN HIGH,Queensberry,OP1,640,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN HIGH,Weddemulla,OP1,640,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN HIGH,Venture,PEK/PEK1,750,179.3748,183.0439,11246.8
2020-01-07,2,1,WESTERN HIGH,Glenloch,PEK/PEK1,720,179.3748,183.0439,11246.8
2020-01-07,2,1,NUWARA ELIYAS,Mahagastotte,BOP,520,179.3748,183.0439,11246.8
2020-01-07,2,1,NUWARA ELIYAS,Mahagastotte,BOPF/BOPFSp,500,179.3748,183.0439,11246.8
2020-01-07,2,1,NUWARA ELIYAS,Kenmare,FBOP/FBOP1,860,179.3748,183.0439,11246.8
2020-01-07,2,1,NUWARA ELIYAS,Mahagastotte,OP/OPA,600,179.3748,183.0439,11246.8
2020-01-07,2,1,NUWARA ELIYAS,Court Lodge,PEK/PEK1,760,179.3748,183.0439,11246.8
2020-01-07,2,1,UDAPUSSELLAWAS,Kirklees,BOP,550,179.3748,183.0439,11246.8
2020-01-07,2,1,UDAPUSSELLAWAS,Lucky Land,BOPSp,540,179.3748,183.0439,11246.8
2020-01-07,2,1,UDAPUSSELLAWAS,Kirklees,BOPF/BOPFSp,540,179.3748,183.0439,11246.8
2020-01-07,2,1,UDAPUSSELLAWAS,Gordon,FBOP/FBOP1,650,179.3748,183.0439,11246.8
